Issue Type,Summary,Description,Priority,Epic Name,Sprint,Team,Depends On,Labels,Components
Task,DH-01 Tenant Foundation,"Add platform-level tenant entities and request-time tenant resolution.",Highest,Access Foundation,Sprint 1,"Platform Backend;Data And Infra",,"domhub,access,foundation,tenant","Backend;Data"
Task,DH-02 Property Structure,"Implement building, entrance, and unit hierarchy.",Highest,Access Foundation,Sprint 1,"Platform Backend;Data And Infra",DH-01,"domhub,access,foundation,property","Backend;Data"
Task,DH-03 Memberships And Roles,"Add role and membership model across platform, company, and property scopes.",Highest,Access Foundation,Sprint 1,"Platform Backend;Data And Infra","DH-01;DH-02","domhub,access,auth,roles","Backend"
Task,DH-04 Profiles Domain,"Implement resident, staff, and contractor profile entities.",Highest,Access Foundation,Sprint 2,"Platform Backend;Data And Infra","DH-01;DH-02;DH-03","domhub,access,profiles","Backend;Data"
Task,DH-05 Vehicle Model,"Add vehicle entities and ownership/access baseline.",Highest,Access Foundation,Sprint 2,"Platform Backend;Data And Infra",DH-04,"domhub,access,vehicle","Backend;Data"
Task,DH-06 Access Zones And Points,"Implement physical access topology for the property.",Highest,Access Foundation,Sprint 2,"Platform Backend;Data And Infra",DH-02,"domhub,access,zones,points","Backend;Data"
Task,DH-07 Access Request And Pass Schema,"Add request, pass, and visit-log schema.",Highest,Access Foundation,Sprint 3,"Platform Backend;Data And Infra","DH-04;DH-05;DH-06","domhub,access,passes,requests","Backend;Data"
Task,DH-08 Access Incident And Audit Schema,"Add incident and audit entities for access operations.",Highest,Access Foundation,Sprint 3,"Platform Backend;Data And Infra",DH-07,"domhub,access,incidents,audit","Backend;Data"
Task,DH-09 Permission Middleware,"Enforce role and scope authorization across access routes.",Highest,Access Foundation,Sprint 3,"Platform Backend;Data And Infra","DH-03;DH-04;DH-07;DH-08","domhub,access,permissions,auth","Backend"
Task,DH-10 Access Request Service,"Implement access request lifecycle and transitions.",Highest,Operational Access Backend,Sprint 4,Platform Backend,"DH-07;DH-09","domhub,access,service,workflow","Backend"
Task,DH-11 Pass Issuance And QR Flow,"Implement issued pass generation and public QR flow.",Highest,Operational Access Backend,Sprint 4,Platform Backend,DH-10,"domhub,access,qr,passes","Backend"
Task,DH-12 Vehicle Access Service,"Add vehicle-based access handling and visit logging.",Highest,Operational Access Backend,Sprint 4,Platform Backend,"DH-05;DH-10;DH-11","domhub,access,vehicle,service","Backend"
Task,DH-13 Policy And Approval CRUD,"Add storage and management APIs for access policies.",Highest,Operational Access Backend,Sprint 4,Platform Backend,"DH-06;DH-07;DH-09","domhub,access,policy,approval","Backend"
Task,DH-14 Policy Evaluation Engine,"Implement rule evaluation for access decisions.",Highest,Operational Access Backend,Sprint 4,Platform Backend,"DH-11;DH-12;DH-13","domhub,access,policy,engine","Backend"
Task,DH-15 Security Workspace API,"Add backend APIs for guard and security console.",Highest,Operational Access Backend,Sprint 5,"Platform Backend;Frontend App;QA And Release","DH-08;DH-11;DH-12;DH-14","domhub,access,security,api","Backend"
Task,DH-16 Manual Override And Incident Flow,"Implement allow, deny, override actions and incident generation.",Highest,Operational Access Backend,Sprint 5,"Platform Backend;Frontend App;QA And Release","DH-08;DH-14;DH-15","domhub,access,security,incidents","Backend"
Task,DH-17 Resident Access UI,"Implement resident guest and vehicle access flows.",High,Pilot-Capable Access Product,Sprint 5,"Frontend App;Platform Backend;QA And Release","DH-10;DH-11;DH-12","domhub,access,resident,ui","Frontend"
Task,DH-18 Security Workspace UI,"Implement guard-facing console UI.",High,Pilot-Capable Access Product,Sprint 5,"Frontend App;Platform Backend;QA And Release","DH-15;DH-16","domhub,access,security,ui","Frontend"
Task,DH-19 Property Admin UI,"Implement property admin screens for access configuration.",High,Pilot-Capable Access Product,Sprint 5,"Frontend App;Platform Backend;QA And Release","DH-06;DH-13;DH-16","domhub,access,admin,ui","Frontend"
Task,DH-20 Onboarding, Import, And Smoke E2E,"Deliver onboarding, seed/import, and access smoke tests.",High,Pilot-Capable Access Product,Sprint 5,"QA And Release;Ops And Enablement","DH-17;DH-18;DH-19","domhub,access,onboarding,e2e","QA;Ops"
Task,DH-21 Resident Auth And Session Hardening,"Harden resident auth, refresh, consent, and session lifecycle.",High,Operations And Resident Service,Sprint 6,"Platform Backend;Frontend App","DH-03;DH-04","domhub,auth,resident,session","Backend;Frontend"
Task,DH-22 Request Categories And Request Core,"Implement service request domain and request APIs.",Highest,Operations And Resident Service,Sprint 6,"Platform Backend;Frontend App",DH-04,"domhub,requests,operations,backend","Backend"
Task,DH-23 Request Attachments And Resident Updates,"Add attachments and resident-visible request communication.",High,Operations And Resident Service,Sprint 6,"Platform Backend;Frontend App",DH-22,"domhub,requests,attachments,resident","Backend;Frontend"
Task,DH-24 Assignment, SLA, And Escalation Engine,"Add assignment, due dates, SLA, and escalation logic.",Highest,Operations And Resident Service,Sprint 6,"Platform Backend;Frontend App","DH-22;DH-23","domhub,requests,sla,assignment","Backend"
Task,DH-25 Staff Workspace API,"Provide operational APIs for concierge and property admin workflows.",High,Operations And Resident Service,Sprint 7,"Platform Backend;Frontend App",DH-24,"domhub,staff,workspace,api","Backend"
Task,DH-26 Staff Workspace UI,"Implement operations UI for staff users.",High,Operations And Resident Service,Sprint 7,"Platform Backend;Frontend App",DH-25,"domhub,staff,workspace,ui","Frontend"
Task,DH-27 Technician Workflow Backend,"Add backend workflow for technical specialists.",High,Operations And Resident Service,Sprint 7,"Platform Backend;Frontend App",DH-24,"domhub,technician,workflow,backend","Backend"
Task,DH-28 Technician Workflow UI,"Implement technician-facing execution interface.",High,Operations And Resident Service,Sprint 7,"Platform Backend;Frontend App",DH-27,"domhub,technician,workflow,ui","Frontend"
Task,DH-29 Contractor Workflow Backend,"Extend workflows for external contractors.",High,Operations And Resident Service,Sprint 7,"Platform Backend;Frontend App","DH-04;DH-27;DH-16","domhub,contractor,workflow,backend","Backend"
Task,DH-30 Contractor Portal UI,"Implement minimal external contractor UI.",High,Operations And Resident Service,Sprint 7,"Platform Backend;Frontend App",DH-29,"domhub,contractor,portal,ui","Frontend"
Task,DH-31 Packages Domain,"Add package intake, notification, and pickup workflow.",Medium,Operations And Resident Service,Sprint 7,"Platform Backend;Frontend App","DH-04;DH-25","domhub,packages,operations","Backend;Frontend"
Task,DH-32 Announcements And Documents Backend,"Implement property communication content layer.",High,Operations And Resident Service,Sprint 8,"Platform Backend;Frontend App;Integrations","DH-01;DH-03","domhub,communications,documents,backend","Backend"
Task,DH-33 Resident Communications UI,"Implement resident announcement and document screens.",High,Operations And Resident Service,Sprint 8,"Platform Backend;Frontend App;Integrations",DH-32,"domhub,communications,resident,ui","Frontend"
Task,DH-34 Notification Orchestration,"Deliver push, SMS, and Telegram notification pipeline.",High,Operations And Resident Service,Sprint 8,"Platform Backend;Frontend App;Integrations","DH-21;DH-22;DH-31;DH-32","domhub,notifications,push,sms,telegram","Backend;Integrations"
Task,DH-35 Property Admin Operational Dashboard,"Implement object-level operational dashboard.",High,Management And Portfolio,Sprint 8,"Platform Backend;Frontend App;Integrations","DH-16;DH-24;DH-34","domhub,analytics,admin,dashboard","Backend;Frontend"
Task,DH-36 Management Company Portfolio API,"Add company-level aggregated views across properties.",High,Management And Portfolio,Sprint 8,"Platform Backend;Frontend App;Integrations",DH-35,"domhub,portfolio,company,api","Backend"
Task,DH-37 Management Company Portfolio UI,"Implement portfolio view for management company admins.",High,Management And Portfolio,Sprint 8,"Platform Backend;Frontend App;Integrations",DH-36,"domhub,portfolio,company,ui","Frontend"
Task,DH-38 Platform Admin Registry And Property Lifecycle,"Implement control plane for client and property management.",High,Management And Portfolio,Sprint 8,"Platform Backend;Frontend App;Integrations","DH-01;DH-39","domhub,platform,admin,lifecycle","Backend;Frontend"
Task,DH-39 Packaging And Feature Gating Enforcement,"Enforce module packaging and feature flags.",High,Management And Portfolio,Sprint 8,"Platform Backend;Frontend App;Integrations",DH-01,"domhub,packaging,feature-flags,platform","Backend;Frontend"
Task,DH-40 Webhooks And Outbound Integration Baseline,"Implement outbound integration and event delivery baseline.",High,Management And Portfolio,Sprint 8,"Platform Backend;Frontend App;Integrations","DH-16;DH-24;DH-34","domhub,integrations,webhooks,events","Backend;Integrations"
Task,DH-41 SKUD Adapter Framework,"Create integration framework for access-control vendor adapters.",High,Pilot-To-Production Hardening,Sprint 9,"Integrations;Platform Backend;Data And Infra","DH-14;DH-40","domhub,integrations,skud,adapters","Backend;Integrations"
Task,DH-42 SKUD Vendor Integration Wave 1,"Implement first production-priority SKUD integrations.",High,Pilot-To-Production Hardening,Sprint 9,"Integrations;Platform Backend;Data And Infra",DH-41,"domhub,integrations,skud,vendors","Integrations"
Task,DH-43 Video Evidence Integration,"Link access and incidents to video evidence context.",Medium,Pilot-To-Production Hardening,Sprint 9,"Integrations;Platform Backend;Data And Infra","DH-08;DH-16;DH-41","domhub,integrations,video,evidence","Integrations;Backend"
Task,DH-44 ERP / 1C / ЖКХ Exchange Baseline,"Implement first practical ERP and 1C exchange layer.",Medium,Pilot-To-Production Hardening,Sprint 9,"Integrations;Platform Backend;Data And Infra","DH-20;DH-40","domhub,integrations,erp,1c","Integrations;Backend"
Task,DH-45 Analytics Aggregation Jobs,"Implement KPI aggregation and reporting data flow.",Medium,Pilot-To-Production Hardening,Sprint 9,"Integrations;Platform Backend;Data And Infra","DH-35;DH-36","domhub,analytics,kpi,jobs","Backend;Data"
Task,DH-46 Onboarding Center And Import Wizard,"Implement reusable onboarding flow for new properties.",High,Pilot-To-Production Hardening,Sprint 10,"Data And Infra;Ops And Enablement;QA And Release","DH-20;DH-38","domhub,onboarding,import,wizard","Backend;Frontend;Ops"
Task,DH-47 Deployment And Tenant Ops Automation,"Automate tenant provisioning, migrations, and rollback-safe ops.",High,Pilot-To-Production Hardening,Sprint 10,"Data And Infra;Ops And Enablement;QA And Release","DH-38;DH-46","domhub,deployment,tenant-ops,automation","Data;Ops"
Task,DH-48 Regression E2E And Release Gates,"Implement release-blocking test gates for core platform flows.",High,Pilot-To-Production Hardening,Sprint 10,"Data And Infra;Ops And Enablement;QA And Release","DH-18;DH-26;DH-37;DH-46","domhub,qa,e2e,release-gates","QA"
