Issue Type,Summary,Description,Priority,Epic Name,Sprint,Team,Depends On,Labels,Components
Task,CMT-01 Freeze Commercial Tenant Scope,"Freeze the first bounded scope for the commercial tenant module and explicitly defer non-module items.",Highest,Commercial Tenant Scope Freeze,Week 1,"Product And Design;Ops And Enablement",,"domhub,commercial-tenant,mixed-use,scope","Product;Planning"
Task,CMT-02 Add Commercial Tenant Domain Model,"Add the minimum commercial tenant entities, links, constraints, and indexes required for mixed-use support.",Highest,Commercial Tenant Domain,Week 1,"Platform Backend;Data And Infra",CMT-01,"domhub,commercial-tenant,domain,backend","Backend;Data"
Task,CMT-03 Add Permissions And Scope Rules,"Implement scope boundaries for commercial tenant admin and staff, plus property admin and security visibility rules.",Highest,Commercial Tenant Domain,Week 1,"Platform Backend;QA And Release",CMT-02,"domhub,commercial-tenant,permissions,scope","Backend;QA"
Task,CMT-04 Add Commercial Staff Registry Backend,"Implement backend CRUD and lifecycle handling for company employee records.",High,Commercial Tenant Domain,Week 1,"Platform Backend;Data And Infra","CMT-02;CMT-03","domhub,commercial-tenant,staff-registry,backend","Backend;Data"
Task,CMT-05 Add Company-Scoped Access Flows,"Connect commercial tenant staff and business visitors to the access core with company affiliation and scoped access windows.",Highest,Commercial Tenant Access And Requests,Week 2,"Platform Backend;Integrations","CMT-03;CMT-04","domhub,commercial-tenant,access,backend","Backend;Integrations"
Task,CMT-06 Add Commercial Request Scope,"Allow commercial tenant admins to create and track requests scoped to their premises.",High,Commercial Tenant Access And Requests,Week 2,Platform Backend,CMT-03,"domhub,commercial-tenant,requests,backend","Backend"
Task,CMT-07 Add Company Documents And Rules Visibility,"Expose mixed-use documents, rules, and operational notices to company users.",High,Commercial Tenant Access And Requests,Week 2,"Platform Backend;Frontend App",CMT-02,"domhub,commercial-tenant,documents,rules","Backend;Frontend"
Task,CMT-08 Implement Commercial Tenant UI,"Build the minimal commercial tenant admin workspace for overview, staff, access status, requests, and documents.",High,Commercial Tenant UI And Governance,Week 2,"Frontend App;QA And Release","CMT-04;CMT-05;CMT-06;CMT-07","domhub,commercial-tenant,ui,frontend","Frontend"
Task,CMT-09 Add Security-Side Commercial Visibility,"Extend security validation screens with company affiliation, employee vs visitor distinction, and restrictions visibility.",High,Commercial Tenant UI And Governance,Week 2,"Frontend App;Platform Backend",CMT-05,"domhub,commercial-tenant,security,ui","Frontend;Backend"
Task,CMT-10 Add Property Admin Commercial Controls,"Expose company registry, company status, staff counts, and linked incidents/requests in the property admin workspace.",High,Commercial Tenant UI And Governance,Week 3,"Frontend App;Platform Backend","CMT-02;CMT-04;CMT-06","domhub,commercial-tenant,property-admin,ui","Frontend;Backend"
Task,CMT-11 Add Optional Parking Linkage,"Provide optional linkage between commercial tenants and the parking baseline for company vehicles and business spots.",Medium,Commercial Tenant Optional Extensions,Week 3,"Platform Backend;Frontend App;Integrations",CMT-02,"domhub,commercial-tenant,parking,optional","Backend;Frontend;Integrations"
Task,CMT-12 Commercial Tenant Pilot Readiness,"Complete testing, demo data, rehearsal, and rollout guidance for a mixed-use pilot wave.",Highest,Commercial Tenant Pilot Readiness,Week 3,"QA And Release;Ops And Enablement;Data And Infra","CMT-08;CMT-09;CMT-10","domhub,commercial-tenant,pilot,qa","QA;Ops;Data"
