Issue Type,Summary,Description,Priority,Epic Name,Sprint,Team,Depends On,Labels,Components,Definition Of Done,Out Of Scope
Task,PKMVP-01 Freeze Parking MVP Scope,"Freeze the first working parking MVP and explicitly defer non-MVP parking capabilities.",Highest,Parking MVP Scope Freeze,Week 1,"Product And Design;Ops And Enablement",,"domhub,parking,mvp,scope","Product;Planning","Parking MVP scope is documented and frozen; non-MVP parking items are explicitly deferred","Smart parking automation; paid parking and billing"
Task,PKMVP-02 Implement Parking Spot Domain,"Add the minimum parking spot model required for a real parking module.",Highest,Parking MVP Backend Core,Week 1,"Platform Backend;Data And Infra",PKMVP-01,"domhub,parking,mvp,spots","Backend;Data","Parking spots exist in schema and API; property-scoped CRUD works; validation covers invalid assignments and statuses","Multi-level visual maps; sensor occupancy"
Task,PKMVP-03 Implement Parking Assignment Domain,"Implement assignment of parking spots to units or residents.",Highest,Parking MVP Backend Core,Week 1,"Platform Backend;Data And Infra",PKMVP-02,"domhub,parking,mvp,assignments","Backend;Data","Spots can be assigned and unassigned; object integrity rules are enforced; tests cover invalid and duplicate assignment cases","Complex shared-parking logic; paid place reservation"
Task,PKMVP-04 Normalize Current Vehicle Registry Into Parking MVP,"Bring the existing garage and vehicle baseline into the new parking MVP domain model.",Highest,Parking MVP Backend Core,Week 1,"Platform Backend;Data And Infra",PKMVP-01,"domhub,parking,mvp,vehicle","Backend;Data","Existing vehicle registry is compatible with parking MVP rules; resident vehicle CRUD remains working; property and ownership validation is enforced","Advanced vehicle analytics; contractor fleet logic"
Task,PKMVP-05 Implement Guest Vehicle Pass Flow In Backend,"Implement backend support for guest vehicle access as part of parking MVP.",Highest,Parking MVP Backend Core,Week 1,Platform Backend,PKMVP-04,"domhub,parking,mvp,guest-vehicle-pass","Backend","Guest vehicle pass can be created and validated in backend; tests cover happy path and invalid access cases","Recurring parking passes; multi-property guest parking logic"
Task,PKMVP-06 Implement Parking Event And Incident Baseline,"Add parking-specific events and incidents.",Highest,Parking MVP Backend Core,Week 1,Platform Backend,PKMVP-05,"domhub,parking,mvp,events,incidents","Backend","Parking events are stored; parking incidents can be created from deny and override cases; audit trail exists for critical parking actions","Video evidence linkage; forensic analytics"
Task,PKMVP-07 Expose Parking MVP API Surface,"Expose the parking MVP through /api/v1 routes.",Highest,Parking MVP API And UI Slice,Week 1,Platform Backend,"PKMVP-03;PKMVP-04;PKMVP-05;PKMVP-06","domhub,parking,mvp,api","Backend","Required parking MVP endpoints exist; property-scoped authorization works; route-level tests cover critical permissions","ANPR adapter APIs; parking billing APIs"
Task,PKMVP-08 Implement Resident Parking UI,"Implement the resident-facing parking MVP UI.",High,Parking MVP API And UI Slice,Week 2,"Frontend App;QA And Release",PKMVP-07,"domhub,parking,mvp,resident,ui","Frontend","Resident can manage vehicles; resident can create guest vehicle passes; resident sees current vehicle-related access state","Rich parking analytics for residents; occupancy views"
Task,PKMVP-09 Implement Security Parking Validation UI,"Implement the security-side parking validation interface.",High,Parking MVP API And UI Slice,Week 2,"Frontend App;QA And Release",PKMVP-07,"domhub,parking,mvp,security,ui","Frontend","Security can validate vehicle access by plate; security can allow, deny, and override; parking event and incident flow is visible in UI","Barrier integration UI; ANPR live console"
Task,PKMVP-10 Implement Property Admin Parking UI,"Implement the property-admin-side parking controls for MVP.",High,Parking MVP API And UI Slice,Week 2,"Frontend App;QA And Release",PKMVP-07,"domhub,parking,mvp,admin,ui","Frontend","Property admin can manage parking spots and assignments; property admin can inspect vehicle and parking event data; basic vehicle blocking controls exist","Portfolio parking dashboard; advanced heatmaps"
Task,PKMVP-11 Add CSV Parking Onboarding Baseline,"Add basic import support required to onboard parking data for a property.",High,Parking MVP Pilot Readiness,Week 2,"Integrations;Platform Backend;Ops And Enablement","PKMVP-02;PKMVP-03","domhub,parking,mvp,csv,onboarding","Integrations;Backend;Ops","Parking spots can be imported for a property; import validation catches malformed rows; pilot onboarding does not depend on manual spot creation only","ERP sync; bulk external integrations"
Task,PKMVP-12 Establish Parking MVP Test And Pilot Readiness,"Complete the first parking MVP hardening pass required for demo and pilot use.",Highest,Parking MVP Pilot Readiness,Week 2,"QA And Release;Data And Infra;Ops And Enablement","PKMVP-08;PKMVP-09;PKMVP-10;PKMVP-11","domhub,parking,mvp,qa,pilot","QA;Data;Ops","Parking tests pass at MVP gate level; demo data exists; end-to-end resident, security, and admin parking flows have been rehearsed","Production-scale parking ops; large vendor rollout"
