Issue Type,Summary,Description,Priority,Epic Name,Sprint,Team,Depends On,Labels,Components
Task,PKMVP-01 Freeze Parking MVP Scope,"Freeze the first working parking MVP and explicitly defer non-MVP parking capabilities.",Highest,Parking MVP Scope Freeze,Week 1,"Product And Design;Ops And Enablement",,"domhub,parking,mvp,scope","Product;Planning"
Task,PKMVP-02 Implement Parking Spot Domain,"Add the minimum parking spot model required for a real parking module.",Highest,Parking MVP Backend Core,Week 1,"Platform Backend;Data And Infra",PKMVP-01,"domhub,parking,mvp,spots","Backend;Data"
Task,PKMVP-03 Implement Parking Assignment Domain,"Implement assignment of parking spots to units or residents.",Highest,Parking MVP Backend Core,Week 1,"Platform Backend;Data And Infra",PKMVP-02,"domhub,parking,mvp,assignments","Backend;Data"
Task,PKMVP-04 Normalize Current Vehicle Registry Into Parking MVP,"Bring the existing garage and vehicle baseline into the new parking MVP domain model.",Highest,Parking MVP Backend Core,Week 1,"Platform Backend;Data And Infra",PKMVP-01,"domhub,parking,mvp,vehicle","Backend;Data"
Task,PKMVP-05 Implement Guest Vehicle Pass Flow In Backend,"Implement backend support for guest vehicle access as part of parking MVP.",Highest,Parking MVP Backend Core,Week 1,Platform Backend,PKMVP-04,"domhub,parking,mvp,guest-vehicle-pass","Backend"
Task,PKMVP-06 Implement Parking Event And Incident Baseline,"Add parking-specific events and incidents.",Highest,Parking MVP Backend Core,Week 1,Platform Backend,PKMVP-05,"domhub,parking,mvp,events,incidents","Backend"
Task,PKMVP-07 Expose Parking MVP API Surface,"Expose the parking MVP through /api/v1 routes.",Highest,Parking MVP API And UI Slice,Week 1,Platform Backend,"PKMVP-03;PKMVP-04;PKMVP-05;PKMVP-06","domhub,parking,mvp,api","Backend"
Task,PKMVP-08 Implement Resident Parking UI,"Implement the resident-facing parking MVP UI.",High,Parking MVP API And UI Slice,Week 2,"Frontend App;QA And Release",PKMVP-07,"domhub,parking,mvp,resident,ui","Frontend"
Task,PKMVP-09 Implement Security Parking Validation UI,"Implement the security-side parking validation interface.",High,Parking MVP API And UI Slice,Week 2,"Frontend App;QA And Release",PKMVP-07,"domhub,parking,mvp,security,ui","Frontend"
Task,PKMVP-10 Implement Property Admin Parking UI,"Implement the property-admin-side parking controls for MVP.",High,Parking MVP API And UI Slice,Week 2,"Frontend App;QA And Release",PKMVP-07,"domhub,parking,mvp,admin,ui","Frontend"
Task,PKMVP-11 Add CSV Parking Onboarding Baseline,"Add basic import support required to onboard parking data for a property.",High,Parking MVP Pilot Readiness,Week 2,"Integrations;Platform Backend;Ops And Enablement","PKMVP-02;PKMVP-03","domhub,parking,mvp,csv,onboarding","Integrations;Backend;Ops"
Task,PKMVP-12 Establish Parking MVP Test And Pilot Readiness,"Complete the first parking MVP hardening pass required for demo and pilot use.",Highest,Parking MVP Pilot Readiness,Week 2,"QA And Release;Data And Infra;Ops And Enablement","PKMVP-08;PKMVP-09;PKMVP-10;PKMVP-11","domhub,parking,mvp,qa,pilot","QA;Data;Ops"
