Issue Type,Summary,Description,Priority,Epic Name,Sprint,Team,Depends On,Labels,Components,Definition Of Done,Out Of Scope
Task,CMT-01 Freeze Commercial Tenant Scope,"Freeze the first bounded scope for the commercial tenant module and explicitly defer non-module items.",Highest,Commercial Tenant Scope Freeze,Week 1,"Product And Design;Ops And Enablement",,"domhub,commercial-tenant,mixed-use,scope","Product;Planning","Bounded MVP/v2 scope is documented and approved; deferred items list exists; no finance/lease/product sprawl remains in active scope","Implementation"
Task,CMT-02 Add Commercial Tenant Domain Model,"Add the minimum commercial tenant entities, links, constraints, and indexes required for mixed-use support.",Highest,Commercial Tenant Domain,Week 1,"Platform Backend;Data And Infra",CMT-01,"domhub,commercial-tenant,domain,backend","Backend;Data","Migrations exist; core constraints and indexes exist; property scope boundaries are enforced","Lease accounting entities"
Task,CMT-03 Add Permissions And Scope Rules,"Implement scope boundaries for commercial tenant admin and staff, plus property admin and security visibility rules.",Highest,Commercial Tenant Domain,Week 1,"Platform Backend;QA And Release",CMT-02,"domhub,commercial-tenant,permissions,scope","Backend;QA","Role and scope checks are implemented; tests cover cross-company and cross-unit isolation","Portfolio governance"
Task,CMT-04 Add Commercial Staff Registry Backend,"Implement backend CRUD and lifecycle handling for company employee records.",High,Commercial Tenant Domain,Week 1,"Platform Backend;Data And Infra","CMT-02;CMT-03","domhub,commercial-tenant,staff-registry,backend","Backend;Data","CRUD works under correct company/property scope; deactivation affects downstream access eligibility","HR workflows"
Task,CMT-05 Add Company-Scoped Access Flows,"Connect commercial tenant staff and business visitors to the access core with company affiliation and scoped access windows.",Highest,Commercial Tenant Access And Requests,Week 2,"Platform Backend;Integrations","CMT-03;CMT-04","domhub,commercial-tenant,access,backend","Backend;Integrations","Commercial tenant staff can receive scoped access; business visitors can be linked to company scope; security sees company affiliation during validation","Full visitor management suite"
Task,CMT-06 Add Commercial Request Scope,"Allow commercial tenant admins to create and track requests scoped to their premises.",High,Commercial Tenant Access And Requests,Week 2,Platform Backend,CMT-03,"domhub,commercial-tenant,requests,backend","Backend","Company users can create requests for their premises; they can only see their own scoped requests; property admin and staff can process those requests normally","Commercial SLA product tiering"
Task,CMT-07 Add Company Documents And Rules Visibility,"Expose mixed-use documents, rules, and operational notices to company users.",High,Commercial Tenant Access And Requests,Week 2,"Platform Backend;Frontend App",CMT-02,"domhub,commercial-tenant,documents,rules","Backend;Frontend","Company users can read documents meant for their scope; property admin can target or expose relevant documents","Full document workflow engine"
Task,CMT-08 Implement Commercial Tenant UI,"Build the minimal commercial tenant admin workspace for overview, staff, access status, requests, and documents.",High,Commercial Tenant UI And Governance,Week 2,"Frontend App;QA And Release","CMT-04;CMT-05;CMT-06;CMT-07","domhub,commercial-tenant,ui,frontend","Frontend","Commercial tenant admin can complete the bounded core flows; UI respects company scope and feature-gating","Rich analytics"
Task,CMT-09 Add Security-Side Commercial Visibility,"Extend security validation screens with company affiliation, employee vs visitor distinction, and restrictions visibility.",High,Commercial Tenant UI And Governance,Week 2,"Frontend App;Platform Backend",CMT-05,"domhub,commercial-tenant,security,ui","Frontend;Backend","Security can validate company-linked staff and visitors without ambiguity; company context appears in the relevant scan/search/detail states","Separate security workflow for business-only checkpoints"
Task,CMT-10 Add Property Admin Commercial Controls,"Expose company registry, company status, staff counts, and linked incidents/requests in the property admin workspace.",High,Commercial Tenant UI And Governance,Week 3,"Frontend App;Platform Backend","CMT-02;CMT-04;CMT-06","domhub,commercial-tenant,property-admin,ui","Frontend;Backend","Property admin can inspect and manage company presence on the object; core company lifecycle controls exist","Multi-property commercial analytics"
Task,CMT-11 Add Optional Parking Linkage,"Provide optional linkage between commercial tenants and the parking baseline for company vehicles and business spots.",Medium,Commercial Tenant Optional Extensions,Week 3,"Platform Backend;Frontend App;Integrations",CMT-02,"domhub,commercial-tenant,parking,optional","Backend;Frontend;Integrations","Commercial tenant records can link to parking baseline entities; no mandatory dependency exists for properties without parking scope","Smart parking automation"
Task,CMT-12 Commercial Tenant Pilot Readiness,"Complete testing, demo data, rehearsal, and rollout guidance for a mixed-use pilot wave.",Highest,Commercial Tenant Pilot Readiness,Week 3,"QA And Release;Ops And Enablement;Data And Infra","CMT-08;CMT-09;CMT-10","domhub,commercial-tenant,pilot,qa","QA;Ops;Data","Main company flows are rehearsed end-to-end; mixed-use pilot can be demonstrated without manual hacks; feature flag and rollout guidance are documented","Broad vendor rollout"
