Issue Type,Summary,Description,Priority,Epic Name,Sprint,Team,Depends On,Labels,Components
Task,MVP-01 Freeze MVP Scope,"Freeze the exact first working MVP scope and explicitly defer non-MVP modules.",Highest,MVP Scope And Design Freeze,Week 1,"Product And Design;Ops And Enablement",,"domhub,mvp,scope,product","Product;Planning"
Task,MVP-02 Create Main Figma MVP File,"Create the main DomHub Figma file with the minimum first-wave page structure and source-of-truth framing.",Highest,MVP Scope And Design Freeze,Week 1,Product And Design,MVP-01,"domhub,mvp,design,figma","Design"
Task,MVP-03 Port Visual Foundations Into Figma,"Port the first DomHub visual foundations into Figma from the token spec.",Highest,MVP Scope And Design Freeze,Week 1,Product And Design,MVP-02,"domhub,mvp,design,tokens","Design"
Task,MVP-04 Build First MVP Components In Figma,"Build the minimal first-wave reusable component set in Figma for the first MVP screens.",Highest,MVP Scope And Design Freeze,Week 1,Product And Design,MVP-03,"domhub,mvp,design,components","Design"
Task,MVP-05 Finalize Resident MVP Screens In Figma,"Design and freeze the resident-facing first working MVP screens.",High,MVP Scope And Design Freeze,Week 1,Product And Design,MVP-04,"domhub,mvp,resident,design","Design"
Task,MVP-06 Finalize Security And Staff MVP Screens In Figma,"Design and freeze the security and staff first working MVP screens.",High,MVP Scope And Design Freeze,Week 1,Product And Design,MVP-04,"domhub,mvp,security,staff,design","Design"
Task,MVP-07 Finalize Property Admin MVP Screen In Figma,"Design and freeze the property admin dashboard required for the first working MVP.",High,MVP Scope And Design Freeze,Week 1,Product And Design,MVP-04,"domhub,mvp,admin,design","Design"
Task,MVP-08 Implement Tenant And Property Foundations,"Implement the minimum tenant and property model required for the MVP.",Highest,MVP Backend Core,Week 1,"Platform Backend;Data And Infra",MVP-01,"domhub,mvp,backend,tenant","Backend;Data"
Task,MVP-09 Implement Roles And Memberships,"Implement the role and membership model for the MVP role set.",Highest,MVP Backend Core,Week 1,"Platform Backend;Data And Infra",MVP-08,"domhub,mvp,backend,auth,roles","Backend"
Task,MVP-10 Implement Resident, Staff, And Vehicle Entities,"Implement the main MVP subject entities needed for access and requests.",Highest,MVP Backend Core,Week 2,"Platform Backend;Data And Infra",MVP-09,"domhub,mvp,backend,profiles,vehicle","Backend;Data"
Task,MVP-11 Implement Access Request And Pass Lifecycle,"Implement the core guest and vehicle access lifecycle for the MVP.",Highest,MVP Backend Core,Week 2,Platform Backend,MVP-10,"domhub,mvp,backend,access,passes","Backend"
Task,MVP-12 Implement Visit Logs, Access Events, And Incidents,"Implement event visibility, audit baseline, and incident baseline for MVP access flows.",Highest,MVP Backend Core,Week 2,Platform Backend,MVP-11,"domhub,mvp,backend,events,incidents,audit","Backend"
Task,MVP-13 Implement Request Lifecycle Baseline,"Implement the minimum resident-to-staff request workflow for the MVP.",Highest,MVP Backend Core,Week 2,Platform Backend,MVP-09,"domhub,mvp,backend,requests,workflow","Backend"
Task,MVP-14 Expose MVP API Surface And Permissions,"Expose the MVP backend through the required /api/v1 routes and enforce permissions.",Highest,MVP API And Frontend Slice,Week 2,Platform Backend,"MVP-11;MVP-12;MVP-13","domhub,mvp,api,permissions","Backend"
Task,MVP-15 Build Shared Frontend MVP Shell Components,"Implement the shared frontend primitives needed for the first MVP screens.",High,MVP API And Frontend Slice,Week 2,"Frontend App;QA And Release","MVP-05;MVP-06;MVP-07","domhub,mvp,frontend,components","Frontend"
Task,MVP-16 Implement Resident MVP Screens In Frontend,"Build the resident-side first working MVP UI.",High,MVP API And Frontend Slice,Week 3,"Frontend App;QA And Release","MVP-14;MVP-15","domhub,mvp,frontend,resident","Frontend"
Task,MVP-17 Implement Security Workspace In Frontend,"Build the security-side first working MVP UI.",High,MVP API And Frontend Slice,Week 3,"Frontend App;QA And Release","MVP-14;MVP-15","domhub,mvp,frontend,security","Frontend"
Task,MVP-18 Implement Staff Queue And Property Admin Dashboard In Frontend,"Build the remaining MVP operations screens in frontend.",High,MVP API And Frontend Slice,Week 3,"Frontend App;QA And Release","MVP-14;MVP-15","domhub,mvp,frontend,staff,admin","Frontend"
Task,MVP-19 Implement Notifications And CSV Import Baseline,"Add the smallest notification and import baseline required for a pilot-capable MVP.",High,MVP Pilot Readiness,Week 3,"Integrations;Platform Backend;Ops And Enablement",MVP-14,"domhub,mvp,notifications,import","Integrations;Backend;Ops"
Task,MVP-20 Establish Infrastructure, Test, And Pilot Readiness,"Complete the MVP hardening pass required to move from working in dev to ready for demo and pilot rehearsal.",Highest,MVP Pilot Readiness,Week 3,"QA And Release;Data And Infra;Ops And Enablement","MVP-16;MVP-17;MVP-18;MVP-19","domhub,mvp,qa,staging,pilot","QA;Data;Ops"
