Issue Type,Summary,Description,Priority,Labels,Components
Task,DH-01 Tenant Foundation,"Goal: Add platform-level tenant entities and tenant resolution. Depends: None. Gate: Core Access Foundation.",Highest,"domhub,access,foundation,tenant","Backend;Data"
Task,DH-02 Property Structure,"Goal: Implement building, entrance, and unit hierarchy. Depends: DH-01. Gate: Core Access Foundation.",Highest,"domhub,access,foundation,property","Backend;Data"
Task,DH-03 Memberships And Roles,"Goal: Add role and membership model across scopes. Depends: DH-01,DH-02. Gate: Core Access Foundation.",Highest,"domhub,access,auth,roles","Backend"
Task,DH-04 Profiles Domain,"Goal: Add resident, staff, and contractor profile entities. Depends: DH-01,DH-02,DH-03. Gate: Core Access Foundation.",Highest,"domhub,access,profiles","Backend;Data"
Task,DH-05 Vehicle Model,"Goal: Add vehicle entities and ownership/access baseline. Depends: DH-04. Gate: Core Access Foundation.",Highest,"domhub,access,vehicle","Backend;Data"
Task,DH-06 Access Zones And Points,"Goal: Implement physical access topology for the property. Depends: DH-02. Gate: Core Access Foundation.",Highest,"domhub,access,zones,points","Backend;Data"
Task,DH-07 Access Request And Pass Schema,"Goal: Add request, pass, and visit-log schema. Depends: DH-04,DH-05,DH-06. Gate: Core Access Foundation.",Highest,"domhub,access,passes,requests","Backend;Data"
Task,DH-08 Access Incident And Audit Schema,"Goal: Add incident and audit entities for access operations. Depends: DH-07. Gate: Core Access Foundation.",Highest,"domhub,access,incidents,audit","Backend;Data"
Task,DH-09 Permission Middleware,"Goal: Enforce role and scope authorization across access routes. Depends: DH-03,DH-04,DH-07,DH-08. Gate: Core Access Foundation.",Highest,"domhub,access,permissions,auth","Backend"
Task,DH-10 Access Request Service,"Goal: Implement request lifecycle and transitions. Depends: DH-07,DH-09. Gate: Operational Access Backend.",Highest,"domhub,access,service,workflow","Backend"
Task,DH-11 Pass Issuance And QR Flow,"Goal: Implement issued pass generation and public QR flow. Depends: DH-10. Gate: Operational Access Backend.",Highest,"domhub,access,qr,passes","Backend"
Task,DH-12 Vehicle Access Service,"Goal: Add vehicle-based access handling and visit logging. Depends: DH-05,DH-10,DH-11. Gate: Operational Access Backend.",Highest,"domhub,access,vehicle,service","Backend"
Task,DH-13 Policy And Approval CRUD,"Goal: Add storage and management APIs for access policies. Depends: DH-06,DH-07,DH-09. Gate: Operational Access Backend.",Highest,"domhub,access,policy,approval","Backend"
Task,DH-14 Policy Evaluation Engine,"Goal: Implement rule evaluation for access decisions. Depends: DH-11,DH-12,DH-13. Gate: Operational Access Backend.",Highest,"domhub,access,policy,engine","Backend"
Task,DH-15 Security Workspace API,"Goal: Add backend APIs for guard and security console. Depends: DH-08,DH-11,DH-12,DH-14. Gate: Operational Access Backend.",Highest,"domhub,access,security,api","Backend"
Task,DH-16 Manual Override And Incident Flow,"Goal: Implement allow, deny, override actions and incident generation. Depends: DH-08,DH-14,DH-15. Gate: Operational Access Backend.",Highest,"domhub,access,security,incidents","Backend"
Task,DH-17 Resident Access UI,"Goal: Implement resident guest and vehicle access flows. Depends: DH-10,DH-11,DH-12. Gate: Pilot-Capable Access Product.",High,"domhub,access,resident,ui","Frontend"
Task,DH-18 Security Workspace UI,"Goal: Implement guard-facing console UI. Depends: DH-15,DH-16. Gate: Pilot-Capable Access Product.",High,"domhub,access,security,ui","Frontend"
Task,DH-19 Property Admin UI,"Goal: Implement property admin screens for access configuration. Depends: DH-06,DH-13,DH-16. Gate: Pilot-Capable Access Product.",High,"domhub,access,admin,ui","Frontend"
Task,DH-20 Onboarding, Import, And Smoke E2E,"Goal: Deliver onboarding, seed/import, and access smoke tests. Depends: DH-17,DH-18,DH-19. Gate: Pilot-Capable Access Product.",High,"domhub,access,onboarding,e2e","QA;Ops"
Task,DH-21 Resident Auth And Session Hardening,"Goal: Harden resident auth, refresh, consent, and session lifecycle. Depends: DH-03,DH-04. Gate: Operations-Ready v2.",High,"domhub,auth,resident,session","Backend;Frontend"
Task,DH-22 Request Categories And Request Core,"Goal: Implement service request domain and request APIs. Depends: DH-04. Gate: Operations-Ready v2.",Highest,"domhub,requests,operations,backend","Backend"
Task,DH-23 Request Attachments And Resident Updates,"Goal: Add attachments and resident-visible request communication. Depends: DH-22. Gate: Operations-Ready v2.",High,"domhub,requests,attachments,resident","Backend;Frontend"
Task,DH-24 Assignment, SLA, And Escalation Engine,"Goal: Add assignment, due dates, SLA, and escalation logic. Depends: DH-22,DH-23. Gate: Operations-Ready v2.",Highest,"domhub,requests,sla,assignment","Backend"
Task,DH-25 Staff Workspace API,"Goal: Provide operational APIs for concierge and property admin workflows. Depends: DH-24. Gate: Operations-Ready v2.",High,"domhub,staff,workspace,api","Backend"
Task,DH-26 Staff Workspace UI,"Goal: Implement operations UI for staff users. Depends: DH-25. Gate: Operations-Ready v2.",High,"domhub,staff,workspace,ui","Frontend"
Task,DH-27 Technician Workflow Backend,"Goal: Add backend workflow for technical specialists. Depends: DH-24. Gate: Operations-Ready v2.",High,"domhub,technician,workflow,backend","Backend"
Task,DH-28 Technician Workflow UI,"Goal: Implement technician-facing execution interface. Depends: DH-27. Gate: Operations-Ready v2.",High,"domhub,technician,workflow,ui","Frontend"
Task,DH-29 Contractor Workflow Backend,"Goal: Extend workflows for external contractors. Depends: DH-04,DH-27,DH-16. Gate: Operations-Ready v2.",High,"domhub,contractor,workflow,backend","Backend"
Task,DH-30 Contractor Portal UI,"Goal: Implement minimal external contractor UI. Depends: DH-29. Gate: Operations-Ready v2.",High,"domhub,contractor,portal,ui","Frontend"
Task,DH-31 Packages Domain,"Goal: Add package intake, notification, and pickup workflow. Depends: DH-04,DH-25. Gate: Operations-Ready v2.",Medium,"domhub,packages,operations","Backend;Frontend"
Task,DH-32 Announcements And Documents Backend,"Goal: Implement property communication content layer. Depends: DH-01,DH-03. Gate: Operations-Ready v2.",High,"domhub,communications,documents,backend","Backend"
Task,DH-33 Resident Communications UI,"Goal: Implement resident announcement and document screens. Depends: DH-32. Gate: Operations-Ready v2.",High,"domhub,communications,resident,ui","Frontend"
