Issue Type,Summary,Description,Priority,Epic Name,Sprint,Team,Depends On,Labels,Components,Definition Of Done,Out Of Scope
Task,MVP-01 Freeze MVP Scope,"Freeze the exact first working MVP scope and explicitly defer non-MVP modules.",Highest,MVP Scope And Design Freeze,Week 1,"Product And Design;Ops And Enablement",,"domhub,mvp,scope,product","Product;Planning","MVP scope is documented and frozen; non-MVP modules are explicitly deferred; team has one agreed implementation cut line","Backlog expansion; additional modules beyond the MVP definition"
Task,MVP-02 Create Main Figma MVP File,"Create the main DomHub Figma file with the minimum first-wave page structure and source-of-truth framing.",Highest,MVP Scope And Design Freeze,Week 1,Product And Design,MVP-01,"domhub,mvp,design,figma","Design","Main Figma file exists; minimum first-wave pages exist; file uses the agreed page naming and structure","Full component library; complete multi-role screen set"
Task,MVP-03 Port Visual Foundations Into Figma,"Port the first DomHub visual foundations into Figma from the token spec.",Highest,MVP Scope And Design Freeze,Week 1,Product And Design,MVP-02,"domhub,mvp,design,tokens","Design","Figma foundations exist and are reusable; visual system is coherent enough to support the first MVP screens","Dark mode; advanced theme variants"
Task,MVP-04 Build First MVP Components In Figma,"Build the minimal first-wave reusable component set in Figma for the first MVP screens.",Highest,MVP Scope And Design Freeze,Week 1,Product And Design,MVP-03,"domhub,mvp,design,components","Design","Required first-wave Figma components exist; components are sufficient to assemble the first MVP screens","Full enterprise-scale component library; expansion-role components outside MVP"
Task,MVP-05 Finalize Resident MVP Screens In Figma,"Design and freeze the resident-facing first working MVP screens.",High,MVP Scope And Design Freeze,Week 1,Product And Design,MVP-04,"domhub,mvp,resident,design","Design","Resident MVP screens exist in Figma; screens are annotated and ready for implementation","Full resident module expansion; documents and notifications center beyond what the MVP needs"
Task,MVP-06 Finalize Security And Staff MVP Screens In Figma,"Design and freeze the security and staff first working MVP screens.",High,MVP Scope And Design Freeze,Week 1,Product And Design,MVP-04,"domhub,mvp,security,staff,design","Design","Security and staff MVP screens exist in Figma; screens are annotated and ready for implementation","Concierge package module; technician and contractor dedicated screens"
Task,MVP-07 Finalize Property Admin MVP Screen In Figma,"Design and freeze the property admin dashboard required for the first working MVP.",High,MVP Scope And Design Freeze,Week 1,Product And Design,MVP-04,"domhub,mvp,admin,design","Design","Property admin dashboard exists in Figma; dashboard is annotated and implementation-ready","Management company portfolio dashboard; full admin settings suite"
Task,MVP-08 Implement Tenant And Property Foundations,"Implement the minimum tenant and property model required for the MVP.",Highest,MVP Backend Core,Week 1,"Platform Backend;Data And Infra",MVP-01,"domhub,mvp,backend,tenant","Backend;Data","Schema and migrations exist; tenant/property foundations work under /api/v1/*; tests cover invalid scope and hierarchy cases","Bulk import; per-tenant provisioning automation"
Task,MVP-09 Implement Roles And Memberships,"Implement the role and membership model for the MVP role set.",Highest,MVP Backend Core,Week 1,"Platform Backend;Data And Infra",MVP-08,"domhub,mvp,backend,auth,roles","Backend","Membership model exists; authorization primitives work across MVP routes; tests cover primary role boundaries","Full management company admin model; platform admin UI"
Task,MVP-10 Implement Resident, Staff, And Vehicle Entities,"Implement the main MVP subject entities needed for access and requests.",Highest,MVP Backend Core,Week 2,"Platform Backend;Data And Infra",MVP-09,"domhub,mvp,backend,profiles,vehicle","Backend;Data","Resident, staff, and vehicle entities exist; associations and validation rules are enforced; tests cover invalid assignments and ownership issues","Contractor domain expansion; advanced vehicle analytics"
Task,MVP-11 Implement Access Request And Pass Lifecycle,"Implement the core guest and vehicle access lifecycle for the MVP.",Highest,MVP Backend Core,Week 2,Platform Backend,MVP-10,"domhub,mvp,backend,access,passes","Backend","Access request and pass lifecycle works end to end in backend/API; guest and vehicle flows are supported; tests cover valid and invalid transitions","Recurring access; contractor access expansion; emergency access rules"
Task,MVP-12 Implement Visit Logs, Access Events, And Incidents,"Implement event visibility, audit baseline, and incident baseline for MVP access flows.",Highest,MVP Backend Core,Week 2,Platform Backend,MVP-11,"domhub,mvp,backend,events,incidents,audit","Backend","Access events and visit logs are stored; incidents can be created from denied/override scenarios; audit trail exists for critical access actions","Advanced forensic tooling; video evidence linking"
Task,MVP-13 Implement Request Lifecycle Baseline,"Implement the minimum resident-to-staff request workflow for the MVP.",Highest,MVP Backend Core,Week 2,Platform Backend,MVP-09,"domhub,mvp,backend,requests,workflow","Backend","Requests can be created and moved through baseline states; staff queue data can be served by /api/v1/*; tests cover state changes and invalid transitions","SLA automation depth; contractor execution workflows"
Task,MVP-14 Expose MVP API Surface And Permissions,"Expose the MVP backend through the required /api/v1 routes and enforce permissions.",Highest,MVP API And Frontend Slice,Week 2,Platform Backend,"MVP-11;MVP-12;MVP-13","domhub,mvp,api,permissions","Backend","Required MVP API endpoints exist; authorization and scope enforcement works consistently; tests cover key route permissions","Expansion APIs beyond MVP; portfolio/admin modules outside MVP"
Task,MVP-15 Build Shared Frontend MVP Shell Components,"Implement the shared frontend primitives needed for the first MVP screens.",High,MVP API And Frontend Slice,Week 2,"Frontend App;QA And Release","MVP-05;MVP-06;MVP-07","domhub,mvp,frontend,components","Frontend","Shared components exist in frontend code; components are reusable across the first MVP screens; lint and typecheck pass for the new layer","Full component library extraction; non-MVP role components"
Task,MVP-16 Implement Resident MVP Screens In Frontend,"Build the resident-side first working MVP UI.",High,MVP API And Frontend Slice,Week 3,"Frontend App;QA And Release","MVP-14;MVP-15","domhub,mvp,frontend,resident","Frontend","Resident screens work against MVP APIs; guest and vehicle flows are usable end to end from frontend; frontend tests or smoke coverage exist where required","Resident expansion modules outside MVP"
Task,MVP-17 Implement Security Workspace In Frontend,"Build the security-side first working MVP UI.",High,MVP API And Frontend Slice,Week 3,"Frontend App;QA And Release","MVP-14;MVP-15","domhub,mvp,frontend,security","Frontend","Security screens work against MVP APIs; allow/deny/manual override work end to end; event and incident outcomes are visible where required","Advanced guard tooling; video/SKUD overlays"
Task,MVP-18 Implement Staff Queue And Property Admin Dashboard In Frontend,"Build the remaining MVP operations screens in frontend.",High,MVP API And Frontend Slice,Week 3,"Frontend App;QA And Release","MVP-14;MVP-15","domhub,mvp,frontend,staff,admin","Frontend","Staff queue works against live data; request detail actions work at MVP level; property admin dashboard shows MVP request/access/incident visibility","Management company portfolio UI; advanced admin management panels"
Task,MVP-19 Implement Notifications And CSV Import Baseline,"Add the smallest notification and import baseline required for a pilot-capable MVP.",High,MVP Pilot Readiness,Week 3,"Integrations;Platform Backend;Ops And Enablement",MVP-14,"domhub,mvp,notifications,import","Integrations;Backend;Ops","Notifications can be triggered for MVP-critical flows; baseline CSV import works for MVP data onboarding; tests cover key import and notification paths where needed","Full integration marketplace; deep 1C/ERP sync"
Task,MVP-20 Establish Infrastructure, Test, And Pilot Readiness,"Complete the MVP hardening pass required to move from working in dev to ready for demo and pilot rehearsal.",Highest,MVP Pilot Readiness,Week 3,"QA And Release;Data And Infra;Ops And Enablement","MVP-16;MVP-17;MVP-18;MVP-19","domhub,mvp,qa,staging,pilot","QA;Data;Ops","Staging is usable; core checks pass; demo data exists; pilot rehearsal paths have been validated; launch and support notes exist","Production-scale hardening beyond MVP gate; broad vendor integration rollout"
